dataset,model,mean,std,count
amazon-ratings,linkx,0.4634329557418823,0.008085400168968169,10
amazon-ratings,harp_esep,0.45936632752418516,0.004750331195862029,10
amazon-ratings,harp,0.45431978106498716,0.007138767507503229,10
amazon-ratings,harp_select,0.45431978106498716,0.007138767507503229,10
amazon-ratings,h2gcn,0.4468234539031982,0.004455698533816219,10
amazon-ratings,gprgnn,0.44316511750221255,0.003051766789556835,10
amazon-ratings,mixhop,0.4387718439102173,0.005370621344456951,10
amazon-ratings,gcn,0.4276008516550064,0.004246145435248469,10
amazon-ratings,appnp,0.4227502793073654,0.0039213504882146975,10
amazon-ratings,mlp,0.38786542713642114,0.0029802359168523565,10
amazon-ratings,sgc,0.38765311241149897,0.004915379916042502,10
roman-empire,harp_esep,0.7851041316986084,0.005660077852895385,10
roman-empire,harp_select,0.7851041316986084,0.005660077852895385,10
roman-empire,h2gcn,0.7772502601146698,0.00680119408281563,10
roman-empire,mixhop,0.7721673250198364,0.005014376792893122,10
roman-empire,harp,0.7576420724391937,0.006318076206935539,10
roman-empire,gprgnn,0.6944934785366058,0.0033846715168030206,10
roman-empire,mlp,0.6446346580982208,0.005362459480816767,10
roman-empire,linkx,0.6041828513145446,0.008952684005155405,10
roman-empire,appnp,0.49449346363544466,0.00485256411450892,10
roman-empire,gcn,0.4157783269882202,0.006190236369922427,10
roman-empire,sgc,0.35841864049434663,0.004965373071698134,10
