dataset,model,seed,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss,best_epoch,elapsed_sec,meta_dataset_type,meta_source,meta_num_nodes,meta_num_edges,meta_edge_homophily,filter_weights,diag_gate_mean,diag_gate_std,diag_gate_q25,diag_gate_median,diag_gate_q75,diag_gate_gt_0_5,diag_gate_min,diag_gate_max,diag_gate_features
cora,mlp,0,1.0,0.6179999709129333,0.5989999771118164,0.15068967640399933,1.3366771936416626,1.312377691268921,71,3.1016924381256104,planetoid,cora,2708,5278,0.8099658961727927,,,,,,,,,,
cora,gcn,0,0.9642857313156128,0.8080000281333923,0.8080000281333923,0.9313874244689941,1.3298722505569458,1.3095180988311768,35,3.076080083847046,planetoid,cora,2708,5278,0.8099658961727927,,,,,,,,,,
cora,harp,0,1.0,0.7900000214576721,0.7950000166893005,0.5230235457420349,1.0436478853225708,1.0217645168304443,5,10.51615858078003,planetoid,cora,2708,5278,0.8099658961727927,"{'low': [0.26774081587791443, 0.2437460720539093, 0.2441878467798233, 0.24432529509067535], 'high': [0.35356569290161133, 0.32310962677001953, 0.3233245611190796]}",0.18619340658187866,0.0035956886131316423,0.18341973423957825,0.18711614608764648,0.18913374841213226,0.0,0.17168554663658142,0.19403515756130219,64.0
citeseer,mlp,0,1.0,0.5759999752044678,0.5619999766349792,1.0821231603622437,1.6336932182312012,1.6311123371124268,29,8.27976679801941,planetoid,citeseer,3327,4552,0.7355008787346221,,,,,,,,,,
citeseer,gcn,0,0.9583333134651184,0.7200000286102295,0.7080000042915344,0.5167192220687866,1.1789554357528687,1.1518903970718384,56,12.513054847717285,planetoid,citeseer,3327,4552,0.7355008787346221,,,,,,,,,,
citeseer,harp,0,0.9916666746139526,0.7099999785423279,0.6729999780654907,0.2050662785768509,0.9877118468284607,1.0254970788955688,9,42.50857353210449,planetoid,citeseer,3327,4552,0.7355008787346221,"{'low': [0.27313604950904846, 0.2434512972831726, 0.24175725877285004, 0.24165546894073486], 'high': [0.3713708519935608, 0.3143419027328491, 0.3142872154712677]}",0.18762832880020142,0.0066802301444113255,0.1825443059206009,0.18892502784729004,0.19397610425949097,0.0,0.17146597802639008,0.1975875198841095,64.0
pubmed,mlp,0,1.0,0.722000002861023,0.722000002861023,0.07199300080537796,0.6787760257720947,0.693631112575531,62,11.21057415008545,planetoid,pubmed,19717,44324,0.8023869686851367,,,,,,,,,,
pubmed,gcn,0,0.3499999940395355,0.19599999487400055,0.41499999165534973,1.0803018808364868,1.0986123085021973,1.0986981391906738,3,4.62458872795105,planetoid,pubmed,19717,44324,0.8023869686851367,,,,,,,,,,
pubmed,harp,0,1.0,0.7260000109672546,0.746999979019165,0.0002072918287012726,1.2632943391799927,1.4133257865905762,75,97.38677024841309,planetoid,pubmed,19717,44324,0.8023869686851367,"{'low': [0.35493332147598267, 0.2168000340461731, 0.21679846942424774, 0.21146810054779053], 'high': [0.4423675239086151, 0.2736845910549164, 0.2839478850364685]}",0.2762537896633148,0.03007303737103939,0.2555674910545349,0.2908099889755249,0.3011658191680908,0.0,0.2059275358915329,0.307483434677124,64.0
