dataset,branch,order,mean,std,count,basis,weight
cornell,high,1,0.47252004146575927,0.05362540541141474,10,H1,0.473 $\pm$ 0.054
cornell,high,2,0.2648157298564911,0.02457233332649531,10,H2,0.265 $\pm$ 0.025
cornell,high,3,0.2626642182469368,0.029339641256973387,10,H3,0.263 $\pm$ 0.029
cornell,low,0,0.3174073278903961,0.014571364933918533,10,L0,0.317 $\pm$ 0.015
cornell,low,1,0.23647661060094832,0.01742476972030492,10,L1,0.236 $\pm$ 0.017
cornell,low,2,0.2230421021580696,0.010373715347041951,10,L2,0.223 $\pm$ 0.010
cornell,low,3,0.22307393997907637,0.009629038761195747,10,L3,0.223 $\pm$ 0.010
texas,high,1,0.48111222982406615,0.04684585276746753,10,H1,0.481 $\pm$ 0.047
texas,high,2,0.2618446797132492,0.022215813395193944,10,H2,0.262 $\pm$ 0.022
texas,high,3,0.25704308301210405,0.025195965240423508,10,H3,0.257 $\pm$ 0.025
texas,low,0,0.3007607191801071,0.016930530029245352,10,L0,0.301 $\pm$ 0.017
texas,low,1,0.26313425600528717,0.022757357206910418,10,L1,0.263 $\pm$ 0.023
texas,low,2,0.2183571070432663,0.011863031773025685,10,L2,0.218 $\pm$ 0.012
texas,low,3,0.21774790734052657,0.01017846878308151,10,L3,0.218 $\pm$ 0.010
wisconsin,high,1,0.45886807441711425,0.022155075846014484,10,H1,0.459 $\pm$ 0.022
wisconsin,high,2,0.27700134813785554,0.0163679100845539,10,H2,0.277 $\pm$ 0.016
wisconsin,high,3,0.26413057148456576,0.008432401441693788,10,H3,0.264 $\pm$ 0.008
wisconsin,low,0,0.31587986946105956,0.011819972548740827,10,L0,0.316 $\pm$ 0.012
wisconsin,low,1,0.22723020017147064,0.009183421942441128,10,L1,0.227 $\pm$ 0.009
wisconsin,low,2,0.22967007905244827,0.008292297451119934,10,L2,0.230 $\pm$ 0.008
wisconsin,low,3,0.22721988260746,0.004572029501484182,10,L3,0.227 $\pm$ 0.005
