model,param_mean,param_std,param_min,param_max,datasets,Model,Trainable params,Datasets,order
mlp,109381.0,0.0,109381,109381,3,MLP,109.4 $\pm$ 0.0K,3,0
gcn,109312.0,0.0,109312,109312,3,GCN,109.3 $\pm$ 0.0K,3,1
sgc,8520.0,0.0,8520,8520,3,SGC,8.5 $\pm$ 0.0K,3,2
appnp,109381.0,0.0,109381,109381,3,APPNP,109.4 $\pm$ 0.0K,3,3
mixhop,328133.0,0.0,328133,328133,3,MixHop,328.1 $\pm$ 0.0K,3,4
gprgnn,109392.0,0.0,109392,109392,3,GPR-GNN,109.4 $\pm$ 0.0K,3,5
h2gcn,126533.0,0.0,126533,126533,3,H2GCN,126.5 $\pm$ 0.0K,3,6
linkx,130863.66666666667,2512.628371513252,129413,133765,3,LINKX,130.9 $\pm$ 2.5K,3,7
harp,331852.0,0.0,331852,331852,3,HARP-GNN,331.9 $\pm$ 0.0K,3,8
